"","機構名稱","機構電話","機構地址","lon","lat"
"3","國立台灣大學醫學院附設醫院","02 23123456","台北市中正區中山南路7、8號；常德街1號",121.5183016,25.0407356
"4","台北市立聯合醫院","25523234","台北市大同區鄭州路145號",121.5093209,25.0509696
"8","財團法人台灣基督長老教會馬偕紀念社會事業基金會馬偕紀念醫院","225433535","台北市中山區中山北路二段92號",121.5226251,25.0588655
"9","福全醫院","225630555","台北市中山區民權東路二段48號",121.5305693,25.0623558
"10","培靈醫院","227606116","台北市松山區八德路四段355號",121.5682439,25.049349
"11","基督復臨安息日會醫療財團法人台安醫院","227718151","台北市松山區八德路二段424,426號",121.5475368,25.048012
"12","長庚醫療財團法人台北長庚紀念醫院","227135211","台北市松山區敦化北路199號",121.5496167,25.0556065
"13","松山醫院","02-27616534","台北市松山區南京東路五段324號一至四樓322號一至四樓",121.5682667,25.0510695
"14","三軍總醫院松山分院附設民眾診療服務處","227462151","台北市松山區健康路131號",121.557672,25.054373
"15","博仁綜合醫院","225786677","台北市松山區光復北路66-68號",121.5578126,25.0498882
"16","秀傳醫院","","台北市大安區光復南路116巷1.3.5號1至4樓及地下1樓",121.556835,25.0430959
"17","中心診所醫療財團法人中心綜合醫院","227510221","台北市大安區忠孝東路四段77號",121.547396,25.0418484
"18","國泰醫療財團法人國泰綜合醫院","227082121","台北市大安區仁愛路四段266巷6號，280號",121.552793,25.037316
"19","中山醫療社團法人中山醫院","02-27081166","台北市大安區仁愛路四段112巷11號",121.5499766,25.0366641
"20","宏恩醫療財團法人宏恩綜合醫院","227713161","台北市大安區仁愛路四段71巷1號",121.5466881,25.0381916
"21","西園醫院","223076968","台北市萬華區西園路二段276號185、187、189號",121.494286,25.0275909
"22","國立台灣大學醫學院附設醫院北護分院","223717101","台北市萬華區康定路37號",121.5024827,25.042142
"23","全昌堂傳統中醫醫院","223753383","台北市萬華區漢中街154號",121.5066859,25.0413199
"24","財團法人台灣省私立台北仁濟院附設仁濟醫院","223021131","台北市萬華區廣州街200，243號",121.497895,25.03666
"25","同仁院醫療財團法人萬華醫院","223059292","台北市萬華區中華路二段606巷6號",121.5098076,25.0240204
"26","台北醫學大學附設醫院","227372181","台北市信義區吳興街252號",121.5634277,25.0267606
"27","仁康醫院","227360226","台北市信義區基隆路二段131之24號",121.556217,25.0274038
"28","新光醫療財團法人新光吳火獅紀念醫院","228332211","台北市士林區文昌路95號及士商路51號、51號2樓、51號3樓、51號4樓、51號5樓、51號6樓、51號7樓、53號、55號、57號",NA,NA
"29","台北市立關渡醫院─委託行政院國軍退除役官兵輔導委員會台北榮民總醫院經營","28587000","台北市北投區知行路二二五巷十二號",121.4662917,25.1202506
"30","振興醫療財團法人振興醫院","228264400","台北市北投區振興街45號",121.5224662,25.1175257
"31","醫療財團法人辜公亮基金會和信治癌中心醫院","02-28970011","台北市北投區立德路125號",121.4720764,25.1283783
"32","三軍總醫院北投分院附設民眾診療服務處","228959808","台北市北投區新民路60號 中和街二五0號",121.509722,25.1398979
"33","行政院國軍退除役官兵輔導委員會台北榮民總醫院","228712121","台北市北投區石牌路二段201號",121.5201598,25.1201836
"34","康寧醫療財團法人康寧醫院","26345500","台北市內湖區成功路五段420巷26號",121.6087332,25.0758921
"35","三軍總醫院附設民眾診療服務處","","台北市內湖區成功路二段325號；台北市中正區汀州路3段40號",121.5598345,25.091075
"36","中國醫藥大學附設醫院台北分院","02-27919696","台北市內湖區內湖路二段360號",121.5906407,25.0821548
"37","資生堂醫院","227867696","台北市南港區新民街64號",121.611524,25.0559219
"38","台北市立萬芳醫院－委託財團法人私立台北醫學大學辦理","229307930","台北市文山區興隆路三段111號",121.5575845,24.9996897
"39","景美醫院","02-29331010","台北市文山區羅斯福路六段280號",121.539881,24.991198
"40","第一醫院","04-22221122","台中市中區民族路一八四號",120.6764501,24.1425177
"41","澄清綜合醫院","04 24632000","台中市中區平等街139號",120.6816834,24.1426197
"42","仁愛醫療財團法人台中仁愛醫院","04 22255450","台中市中區柳川里柳川東路三段36號",120.6779185,24.143416
"43","中國醫藥大學附設醫院台中東區分院","04-22121058","台中市東區自由路三段296號",120.6946953,24.1426656
"44","台新醫院","04 22139966","台中市東區振興路439之3號及441號",120.705561,24.130363
"45","台安醫院","04-23602000","台中市東區進化路二0三號",120.693969,24.1604549
"46","中山醫學大學附設醫院中興分院","","台中市南區復興路2段11號",120.6585786,24.1176305
"47","宏恩醫院","04-22623123","台中市南區復興路二段38-13號、南平路31-2號1、2、3樓",120.6597548,24.1187884
"48","宏恩醫院龍安分院","04-37017188","台中市南區德富路145巷2號",120.6550624,24.1194099
"49","中山醫學大學附設醫院","04 24739595","台中市南區建國北路一段110號",120.6516957,24.1218042
"50","財團法人台灣省私立台中仁愛之家附設靜和醫院","04 23711129","台中市西區吉龍里南屯路1段158號",120.6596379,24.1334648
"51","林森醫院","04 22227800","台中市西區三民里三民路一段152號之一",120.67297,24.135917
"52","行政院衛生署台中醫院","04-22294411","台中市西區廣民里三民路1段199號",120.6762712,24.1406262
"53","台安醫院雙十分院","04 22268990","台中市北區雙十路二段29號",120.6885503,24.1526275
"54","勝美醫院","04-22013333","台中市北區五權路480、482號",120.68289,24.153249
"55","新亞東婦產科醫院","04 22075779","台中市北區大雅路271號、275號1樓",120.6836398,24.1644839
"56","中國醫藥大學附設醫院","04 22052121","台中市北區育德路二號",120.6805492,24.1576494
"57","維新醫療社團法人台中維新醫院","04-22038585","台中市北區育德路185、187號",120.6724155,24.1571613
"58","順天醫療社團法人順天醫院","04-22333676","台中市北區三民路三段333號",120.689036,24.1576963
"59","國軍台中總醫院附設民眾診療服務處中清分院","04 22037320","台中市北區忠明路500號",120.6722378,24.1627247
"60","弘光科技大學附設老人醫院","04-22390600","台中市北屯區太原路三段1141號",120.7228657,24.1627049
"61","澄清復健醫院","","台中市北屯區太原路3段1142號",120.7216065,24.1616668
"62","聯安醫院","04 22441995","台中市北屯區東山路一段37號",120.6993404,24.170599
"63","全民醫院","04 22916666","台中市北屯區中清路72之42號",120.6664979,24.1815792
"64","博愛外科醫院","04-22954722","台中市北屯區文心路三段431號",120.667943,24.173492
"65","聯合中醫醫院","04 22465979","台中市北屯區大連路二段36號一、二樓",120.683063,24.176052
"66","澄清綜合醫院中港分院","04 24632000","台中市西屯區台灣大道4段972號",120.6168215,24.182821
"67","行政院國軍退除役官兵輔導委員會台中榮民總醫院","04 23592525","台中市西屯區台灣大道4段1650號",120.60371,24.183744
"68","友仁醫院","04 24739995","台中市南屯區五權西路二段197號",120.6495166,24.1398865
"69","林新醫療社團法人林新醫院","04-22586688","台中市南屯區惠中路3段36號",120.6403479,24.1490126
"70","法務部矯正署台中監獄附設培德醫院","04-23814169","台中市南屯區培德路9號",120.5997446,24.1422587
"71","太平澄清醫院","04-22789900","台中市太平區中興路88之7、92、94、96號",120.715823,24.127512
"72","賢德醫院","04-22732551","台中市太平區宜昌路420號",120.7143044,24.145305
"73","國軍台中總醫院附設民眾診療服務處","04-23934191","台中市太平區中山路二段348號",120.7285064,24.1501058
"74","仁愛醫療財團法人大里仁愛醫院","04-24819900","台中市大里區東榮路483號",120.6805749,24.1092272
"75","新菩提醫院","04-24829966","台中市大里區中興路二段619、621號",120.689765,24.115661
"76","達明眼科醫院","04-24851437","台中市大里區中興路二段490號",120.690076,24.1113899
"77","霧峰澄清醫院","04 23397900","台中市霧峰區中正路1129號",120.6993022,24.0699168
"78","本堂澄清醫院","04-23390000","台中市霧峰區中正路718號及中正路720巷5號",120.6948132,24.0514625
"79","泰安醫院","04-23393015","台中市霧峰區中正路928號",120.6987272,24.0648288
"80","烏日澄清醫院","04-23376232","台中市烏日區光明路419號",120.6476842,24.100883
"81","杏豐醫院","04 25234112","台中市豐原區三民路106號",120.720143,24.253662
"82","祥恩醫院","04 25267550","台中市豐原區中興路35號",120.7175946,24.2481498
"83","新惠生醫院","04-25228792","台中市豐原區圓環北路一段319號",120.7193461,24.2582524
"84","漢忠醫院","04- 25222209","台中市豐原區中正路218號",120.7178434,24.2522299
"85","福平醫院","04-25235695","台中市豐原區中正路71號",120.7215388,24.2525541
"86","豐安醫院","04-25231180","台中市豐原區中正路115號",120.7206136,24.2516261
"87","惠盛醫院","425229100","台中市豐原區中正路268號",120.716185,24.251739
"88","中國醫藥大學附設醫院豐原分院","04-25222538","台中市豐原區中正路199號",120.7183696,24.2516467
"89","行政院衛生署豐原醫院","04-25271180","台中市豐原區安康路100號",120.7252031,24.2427794
"90","大同中醫醫院","04 5274601","台中市豐原區下街里仁愛街11號",120.717477,24.252515
"91","天心中醫醫院","04 5275666","台中市豐原區田心里中山路206號",120.712405,24.240588
"92","清海醫院","04-25721694","台中市石岡區金星里石岡街下坑巷四十一之二號",120.7758057,24.2489187
"93","協和醫院","04-2 5872113","台中市東勢區豐勢路318號",120.8299791,24.2530973
"94","東勢鎮農會附設農民醫院","04-25871919","台中市東勢區豐勢路297號",120.8291464,24.2534386
"95","財團法人佛教慈濟綜合醫院台中分院","04-36060666","台中市潭子區豐興路一段66、88號",120.7215216,24.1966294
"96","清泉醫院","04-25605600","台中市大雅區三和里雅潭路四段80號",120.6573443,24.2212538
"97","大雅澄清醫院","04-25677722","台中市大雅區中清路三段24之2號",120.6443971,24.2271651
"98","光田醫療社團法人光田綜合醫院","04-26625111","台中市沙鹿區沙田路117號（含大同街5-2號）",120.558866,24.23543
"99","童綜合醫療社團法人童綜合醫院","04-26581919","台中市梧棲區台灣大道八段699號",120.5428236,24.2472297
"100","忠港醫院","04-26580298","台中市梧棲區文化里中興路49號",120.5345295,24.2530559
"101","明德醫院","04-26579595","台中市梧棲區仁美街33巷50號",120.5358872,24.2535822
"102","陽光精神科醫院","04-26202949","台中市清水區東山路68之1號",120.60931,24.281092
"103","清濱醫院","04-26283595","台中市清水區港埠路四段195號",120.5489577,24.2830846
"104","李綜合醫療社團法人大甲李綜合醫院","04-26862288","台中市大甲區八德街2號",120.6179957,24.3507913
"105","順安醫院","04-26862328","台中市大甲區光明路6號",120.6255703,24.3437285
"106","永川醫院","06 2245771","台南市中西區成功路169號",120.2063338,22.9980871
"107","行政院衛生署台南醫院","06 2200055","台南市中西區中山路125號",120.2088778,22.9960707
"108","洪外科醫院","06 2240011","台南市中西區民生路2段60號",120.1976531,22.9951697
"109","仁村醫院","2152607","台南市中西區西門路1段486號1、2、3、4樓、488號1樓及中西區府緯街63號1、2、3樓",NA,NA
"110","永和醫院","2231191","台南市中西區府前路1段304巷2號",120.1988936,22.9903504
"111","郭綜合醫院","2221111","台南市中西區民生路2段6.8.10.12.14.18.20.22.23.24.25.27.44號",120.193106,22.9962871
"112","仁愛醫院","06 2213111","台南市東區北門路1段10號、30巷16號",120.2115805,22.9897823
"113","台南市立醫院","06 2609926","台南市東區崇德路670號",120.226853,22.968705
"114","台灣基督長老教會新樓醫療財團法人台南新樓醫院","06 2748316","台南市東區東門路1段57號",120.213285,22.9891433
"115","奇美醫療財團法人奇美醫院台南分院","06 2228116","台南市南區樹林街2段442號",120.1961859,22.9865344
"116","美德中醫醫院","06 2517956","台南市北區公園路661號",120.213908,23.0159901
"117","陳澤彥婦產科醫院","06-3505000","台南市北區中華北路二段101號1、2、3樓",120.1970754,23.0194279
"118","國立成功大學醫學院附設醫院","06 2353535","台南市北區勝利路138號",120.2189867,23.0021803
"119","開元寺慈愛醫院","2384111","台南市北區北園街89之1號",120.2229222,23.0107271
"120","志誠醫院","06 2210423","台南市北區公園路315之1號",120.2100967,23.0035515
"121","台南市立安南醫院-委託中國醫藥大學興建經營","06-3553111","台南市安南區長和路二段66號",120.221312,23.063519
"122","永達醫療社團法人永達醫院","06-2311111","台南市永康區永大路二段1326號",120.2614286,23.0221714
"123","高雄榮民總醫院台南分院","06 3125101","台南市永康區復興路427號",120.2402983,22.9973101
"124","奇美醫療財團法人奇美醫院","06-2812811","台南市永康區中華路901號",120.2220415,23.0209835
"125","晉生醫療社團法人晉生慢性醫院","06-2330003","台南市永康區中山南路902巷5號2樓及7號",120.2491123,23.0213479
"126","財團法人台灣省私立台南仁愛之家附設精神療養院","06 5902336","台南市新化區中山路20號",120.3197562,23.0511126
"127","行政院衛生署台南醫院新化分院","06-5911929","台南市新化區那拔里牧場72號",120.336598,23.0628399
"128","行政院衛生署胸腔病院","06 -2705911","台南市仁德區中山路864號",120.2404549,22.9747262
"129","行政院衛生署嘉南療養院","06-2795019","台南市仁德區中山路870巷80號",120.256905,23.028439
"130","台灣基督長老教會新樓醫療財團法人麻豆新樓醫院","06-5702228","台南市麻豆區小埤里苓子林20號",120.232868,23.1802283
"131","奇美醫療財團法人佳里奇美醫院","06-7263333","台南市佳里區興化里606號",120.1837918,23.1816689
"132","新生醫院","06 7223122","台南市佳里區新生路272號,297號1- 4樓",120.1765493,23.1603958
"133","信一骨科醫院","06-6350035","台南市新營區民生路43之26號",120.3090217,23.3059414
"134","營新醫院","6592592","台南市新營區隋唐街228號",120.2998812,23.3084846
"135","新興醫療社團法人新興醫院","06-6330011","台南市新營區中興路10號",120.316843,23.303633
"136","行政院衛生署新營醫院","06-6351131","台南市新營區信義街73號",120.3133911,23.3088708
"137","佑昇醫院","06-6841999","台南市白河區民安路一號",120.4111669,23.3461727
"138","奇美醫療財團法人柳營奇美醫院","06-6226999","台南市柳營區太康里201號",120.325344,23.288519
"139","謝醫院","06 5838209","台南市善化區中正路436號",120.2940313,23.1305646
"140","宏科醫院","06-5818868","台南市善化區三民路1-35號",120.2870613,23.12766
"141","原祿骨科醫院","07 2371013","高雄市新興區中正三路52號",120.3091091,22.6310876
"142","靜和醫院","07 2229612","高雄市新興區民族二路176,178,180,182號",120.314078,22.636151
"143","新華醫院","07-2876080","高雄市新興區七賢二路97號地下1層，地上1至6層",120.299918,22.634313
"144","優生美地醫院","07-2352360","高雄市新興區七賢一路420號地下一層，地上一至五層",120.309348,22.633937
"145","大千醫院","07-2267799","高雄市新興區中正三路一之11號",120.3124367,22.6304584
"146","惠仁醫院","07 2010196","高雄市新興區中山一路67之2號",120.3015448,22.6298539
"147","蕭志文醫院","07 2240252","高雄市新興區七賢一路102號",120.3142396,22.6338766
"148","上琳醫院","07-2828668","高雄市前金區自強一路67號B1-7樓",120.2928959,22.6312167
